Comment,Designator,Footprint
100nF,C1,Capacitor_SMD:C_0603_1608Metric
3.3pF,"C2,C4",Capacitor_SMD:C_0201_0603Metric
4.7uF,C5,Capacitor_SMD:C_0603_1608Metric
Conn_01x15_Pin,"J1,J4",Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical
Conn_01x11_Pin,J2,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical
Conn_01x10_Pin,J3,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical
Conn_01x05_Pin,J5,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical
Conn_01x2_Pin,J6,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
Conn_01x1_Pin,J7,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical
100 Ohms,R1,Resistor_SMD:R_0201_0603Metric
STM32WB5MMG,U1,RF_Module:ST-SiP-LGA-86-11x7.3mm
